Time,Trade_ID,Action,Symbol,Strategy,Entry_Price,SL_Price,TP1_Price,TP2_Price,Exit_Price,Exit_Reason,Stage,PnL_USDT,ATR_val,ATR_Pct,ADX,Leverage,Size,Margin_USDT
2026-05-25 16:12:12,P1779724339_DOGSUSDTUSDT,PARTIAL_TP1,DOGS/USDT:USDT,BREAKOUT,5.454e-05,,,,5.615e-05,TP1,1,0.87,1e-06,1.396,31.7,10,542969,7.4
2026-05-25 16:26:19,P1779724339_DOGSUSDTUSDT,PARTIAL_TP2,DOGS/USDT:USDT,BREAKOUT,5.454e-05,,,,5.767e-05,TP2,2,1.27,1e-06,1.396,31.7,10,407227,7.4
2026-05-25 22:53:17,P1779720797_DOGSUSDTUSDT,ENTRY_PROBE,DOGS/USDT:USDT,BREAKOUT,5.345e-05,5.299e-05,5.458e-05,5.572e-05,,,,,1e-06,1.061,30.0,10,1812394.0,9.69
2026-05-25 23:20:18,P1779722417_PAXGUSDTUSDT,ENTRY_PROBE,PAXG/USDT:USDT,PULLBACK,4562.17,4548.47,4575.6,4583.66,,,,,5.371429,0.118,26.1,10,0.076,34.67
2026-05-25 23:52:19,P1779724339_DOGSUSDTUSDT,ENTRY_PROBE,DOGS/USDT:USDT,BREAKOUT,5.454e-05,5.373e-05,5.606e-05,5.759e-05,,,,,1e-06,1.396,31.7,10,1357424.0,7.4
2026-05-26 01:01:19,P1779728479_ATOMUSDTUSDT,ENTRY_PROBE,ATOM/USDT:USDT,BREAKOUT,2.156,2.145,2.18,2.204,,,,,0.012071,0.56,31.0,10,88.53,19.09
2026-05-26 01:03:10,P1779722417_PAXGUSDTUSDT,ENTRY_CONFIRM,PAXG/USDT:USDT,PULLBACK,4564.93294117647,4554.13,4578.36,4586.42,,,,,5.371429,0.118,26.1,10,0.153,69.84
2026-05-26 01:10:52,P1779724339_DOGSUSDTUSDT,EXIT,DOGS/USDT:USDT,BREAKOUT,5.454e-05,,,,5.762e-05,TRAIL_SL,2,3.27,1e-06,1.396,31.7,10,407228,7.4
2026-05-26 01:58:19,P1779731898_CHZUSDTUSDT,ENTRY_PROBE,CHZ/USDT:USDT,PULLBACK,0.0372,0.03673,0.03796,0.03842,,,,,0.000306,0.822,25.9,10,2309.0,8.59
2026-05-26 02:32:18,P1779733938_INJUSDTUSDT,ENTRY_PROBE,INJ/USDT:USDT,BREAKOUT,5.788,5.705,5.956,6.124,,,,,0.083929,1.45,34.5,10,12.6,7.29
2026-05-26 05:03:20,P1779743000_EIGENUSDTUSDT,ENTRY_PROBE,EIGEN/USDT:USDT,BREAKOUT,0.2549,0.249,0.2668,0.2786,,,,,0.005929,2.326,34.5,10,172.6,4.4
2026-05-26 05:25:19,P1779744319_AKTUSDTUSDT,ENTRY_PROBE,AKT/USDT:USDT,BREAKOUT,0.9392,0.9278,0.9615,0.9838,,,,,0.011157,1.188,30.3,10,91.7,8.61
2026-05-26 07:30:19,P1779751819_RENDERUSDTUSDT,ENTRY_PROBE,RENDER/USDT:USDT,BREAKOUT,2.185,2.146,2.262,2.338,,,,,0.038357,1.755,36.1,10,26.0,5.68
